iD,Response,Reviewer-1,Reviewer-2,word choice,Organization
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput. 
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required. 
Large Main Memory Required.",5,5,,
2,"1) increased throughput
2) economy of scale
3) increased reliability",3,3,,
2,"Enhanced Throughput,
More Economic Systems,
Increased Expense,
Complicated Operating System Required,
Large Main Memory Required.",4,4,,
2,"More reliable Systems. 
In a multiprocessor system, even if one processor fails, the system will not halt
Enhanced Throughput
More Economic Systems
Increased Expense
Complicated Operating System Required
Large Main Memory Required",5,5,,
2,"1.More reliable Systems. 
2.In a multiprocessor system, even if one 
   processor fails, the system will not halt.
3.Enhanced Throughput.
4.More Economic Systems.
5.Increased Expense.
6.Complicated Operating System Required.
7.Large Main Memory Required.",5,5,,
2,"Most reliable, high throughput, parallel processing",2,2,,
2,"The microprocessor is that these are general purpose electronics processing devices which can be programmed to execute a number of tasks.
Compact size.
High speed.
Low power consumption.
It is portable.
It is very reliable.
Less heat generation.
The microprocessor is very versatile.",1,0,,
2,"More reliable Systems, Enhanced Throughput, More Economic Systems",3,3,,
2,"It can more jobs than a single processor
It can increase the system efficiency",2,1,,
2,"The advantages of the multiprocessing system are: Increased Throughput Ÿ?? By increasing the number of processors, more work can be completed in a unit time. Cost Saving Ÿ?? Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems.",3,3,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ",1,1,,
2,"High Throughput
Type of parallel processing
Less electricity usage
High Reliability
Economic",2,2,,
2,"More economic
More reliable
Large memory",2,2,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",5,5,,
2,More economic increased expense.,0,0,,
2,"1:In multiprocessor system even when one processor fails the whole system doesn't stop.
2: Multiple independent jobs can be operated in parallel.
3: More work can be worked in a unit time.",2,2,,
2,"1.High reliability
2.Economic
3.Enhanced throughput
4.Reduced cost",4,4,,
2,"In multiprocessor system, even if one processor fails, the system will not halt
large main memory required
more economic system",3,3,,
2,"even if one processor fails, the system will not stop. 
Increased expense. ",1,1,,
2,The main advantage of multiprocessor system is even one processor fails the system will not halt,1,1,,
2,"1.more reliable,2.enhanced throughput,3.increased expense,4.more computing",2,3,,
2,"High reliability
Less electric city usage
Type of parallel processing",1,1,,
2," Enhanced Throughput. 
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required. 
Large Main Memory Required.",2,2,,
2,"1.High Throughput
2.Parallel processing 
3.Less electricity usage
4.Higj reliability",3,3,,
2,"1).More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
2).Enhanced Throughput. ... 
3).More Economic Systems. ... 
4).Increased Expense. ... 
5).Complicated Operating System Required. ... 
6).Large Main Memory Required.",5,5,,
2,"High speed,compact size, it is portable ,low power consumption",1,2,,
2,"Enhanced Throughput. 
More Economic Systems. 
Increased Expense.",2,2,,
2,"More reliable systems 
Enchanced through output
More economical systems
Increased expense
Compilcated operating system required
Large main memory required",4,4,,
2,"Advantages of Multiprocessor Systems
More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.
",5,5,,
2,"There are multiple advantages to multiprocessor systems. Some of these are Ÿ??
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.
2.Enhanced Throughput
If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.
3.More Economic Systems
Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.",4,4,,
2,"Multiprocessor system have the advantages like:
High throughput, reduced cost, increased reliability, economic and less electricity usage. ",3,3,,
2,"Increases throughput, Reduces the time mechanism, Maximum CPU utilization. ",2,3,,
2,"Advantages of multiprocessor systems:-
1. High Throughput
2. Type of parallel processing
3. Less electricity usage
4. High Reliability
5. Economic",3,3,,
2,"Many works can be done simultaneously by system without wastage of time.
->in this even if one processor doesn't work the other will not stop.
->Economic friendly 

",3,3,,
2,"Multiprocessor system supports more than one processor.
1.Throughput 2.Cost Saving 3.Increased Reliability ",3,3,,
2,"In a multiprocessor system, even if one processor fails, the system will not halt.
These are cheaper than single processor systems in the long run because they share data storage,peripheral devices, power supplies etc.",2,3,,
2,"compact size ,High speed , Low power consumption , portable, very reliable, Less heat generation .",2,2,,
2,"Increased throughout-- by increasing the number of processes more work can be completed in a unit time.
 cost saving--parallel system shares the memory buses peripherals.
Thus saves money as compared to multiple single system",2,2,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt,Enhanced Throughput,More Economic Systems,Increased Expense,Complicated Operating System Required,Large Main Memory Required.",5,5,,
2,1.More Economic Systems 2.Less electricity usage 3.High Reliability  4.High Throughput,2,2,,
2,"Executes multiple instructions at the same time. 
If one processor fails it doesn't affect the functioning of other processors.
An additional processor can be added to increase the performance.",3,3,,
2,"High throughput, high reliability, less electricity usage, cost saving",2,2,,
2,"Increased Throughput-By increasing the number of processors
Cost Saving-Parralell system shares the memory,buses.",2,2,,
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUŸ??s so these systems are economically good as well.

",5,5,,
2,"1.More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
2.Enhanced Throughput. 
3.More Economic Systems. 
4.Increased Expense. 
5.Complicated Operating System Required. ...
6.Large Main Memory Required.",5,5,,
2,"By increasing the number of processors  work can be done in unit time.parallel system shares the memory,buses etc.multiprocessor saves memory ",1,1,,
2,The work complete sooner,0,0,,
2,"In a multiprocessor system, even if one processor fails, the system will not halt",1,1,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",5,5,,
2,"High throughput
High reliability
Less electricity usage 
Cost saving ",3,3,,
2,"1.We can perform multiple tasks at a time on a single CPU.
2. We can execute multiple programs parallel.
3. High throughput
",2,2,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput. 
More Economic Systems
Increased Expense.
Complicated Operating System Required. 
Large Main Memory Required.",4,4,,
2,"In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
More Economic Systems.
Increased Expense.
Complicated Operating System Required.
Large Main Memory Required.",4,4,,
2,"More reliable systems. In a multiprocessor system, even if one processor fails the system will not halt.
Enhanced throughput
More economic system",2,2,,
2,"1.High Throughput
2.less electricity usage
3.High Reliability
4.it is economic",3,3,,
2,"Advantages of a microprocessor system :
1. Microprocessor functions with high speed.
2. It generates less heat.
3. It consumes less power.
4. It is portable and reliable.",0,0,,
2,"Following are some of important advantages of an operating System.

Memory Management
Processor Management
Device Management
File Management
Security
Control over system performance
Job accounting
Error detecting aids
Coordination between other software and users",0,0,,
2,Multiprocessor systems have better performance than single processor systems. It has shorter response time and higher throughput. User gets more work in less time.  Multiprocessor systems can cost less than equivalent multiple single processor system,4,4,,
2,Multiprocessor systems have better performance than single processor systems. It has shorter response time and higher throughput. User gets more work in less time. - Reduced Cost: Multiprocessor systems can cost less than equivalent multiple single processor system,4,4,,
2,"High Reliability
Less electricity usage:
High Throughput",2,2,,
2,"If one process fails, it doesn't effect the remaining processes, enhanced throughput, more economic system ",2,2,,
2,"High Reliability
Less electricity usage:
High Throughput",2,2,,
2,"1.High throughput
2.High reliability
3.Less electricity usage.",2,2,,
2,"Microprocessor is its speed ,which is measured in hertz.microproccesor is that it can quickly move data between the various memory locations.",0,0,,
2,"In a multiprocessor system, even if one processor fails, the system will not halt. ",1,1,,
2,"Better performance
More work less time
Reduced cost",1,1,,
2,"High Reliability
Less electricity usage:
High Throughput",2,2,,
2,"Increased Troughput-by increasing the number of processor,more work can be completed in a unit time.cost saving- parallel system shares the memory,buses, peripherals etc.multiprocessor system thus saves money as compared to multiple singles systems.",3,3,,
2,CPU is used most of time and mostly never become idle.the system apper to be faster as the tasks will run in parallel.even if one processer system will not halt.,2,2,,
2,"High Reliability
Less electricity usage
High Throughput",2,2,,
2,In Multiprocessor system if one processor fails the system will not halt. The throughput of system increases. ,2,2,,
2,"High Reliability
Less electricity usage:
High Throughput",2,2,,
2,"More reliable system in multiprocessor system even if one processor fails the system will not halt
Enhanced  throughput
More economic system
Increased expenses
Complicated operating system required",3,3,,
2,"High reliability
High ThroughPut",2,2,,
2,"1.Enhanced throughput
2.increased expense
3.Lorge main memory required",2,2,,
2,"Enhanced Throughput, More reliable Systems, More Economic Systems. ",2,2,,
2,"1.As multiple processes execute at the same time ,so throughput will be increased. 2.if any of the processor fail it does affect the whole process.3.increase the reliability.",2,2,,
2,"The advantages of the multiprocessing system are: Increased Throughput Ÿ?? By increasing the number of processors, more work can be completed in a unit time. Cost Saving Ÿ?? Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems.",3,3,,
2,"Advantages of multiprocessor system 
More reliable system in a multiprocessor system even if one processor fails the system will not halt
Enhanced throughput
More economic system
Increased expense
Complicated operating system required
Large  main memory required",5,5,,
2,"More reliable system's,more economic system's",2,2,,
2,"Doing a single process at a time can take much time. To reduce it we can use multiprocessor.
By multiprocessor  system we can reduce the workload on on the processor(in case single).
The multiprocessor works great for the heavy workloads coz it divides(shares) the workload and makes the process happen.
",3,3,,
2," By increasing the number of processors, more work can be completed in a unit time.
Cost Saving  Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.",4,4,,
2,"1) More reliable systems. In a multiprocessor system even if one processor fails,the system will not halt.
2) Enhanced throughput. 
3)More economic systems. 
4) Increased expense.",4,4,,
2,"High Reliability
Less electricity usage:
High Throughput",2,2,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required.
Large Main Memory Required.",4,4,,
2,"Multiprocessor system have more than one processor in close communication, sharing the computer bus the clock and sometimes memory and peripheral devices. This system are referred to as tightly coupled system. One main advantage in such system is increased throughput.",3,3,,
2,"High Reliability
Less electricity usage:
High Throughput",2,2,,
2,"Enhanced Throughput,
More Economic Systems,
Increased Expense,
Complicated Operating System,
Large Main Memory Required.",3,3,,
2,"High Reliability
Less electricity usage:
High Throughput",2,2,,
2,"There are multiple advantages to multiprocessor systems. Some of these are Ÿ??
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.
2.Enhanced Throughput
If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.
3.More Economic Systems
Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.",4,4,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",4,4,,
2,"High Reliability
Less electricity usage
High Throughput",2,2,,
2,"More economic systems, more reliable systems, enhanced throughput.",2,2,,
2,"1.More reliable systems.
2 Enhanced throughput.
3.More economic systems.
4.Increased expense.
5.Complicated operating system required.
6.Large main memory required.
",5,5,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.

Enhanced Throughput. 
More Economic Systems. 
Increased Expense.
Complicated Operating System Required. 
Large Main Memory Required.
",5,5,,
2,"More no of processes can be executed.
Starvation is significantly reduced.",2,1,,
2,Deadlock,0,0,,
2,"More reliable Systems, increased throughput, has shorter response time",3,3,,
2,"Advantages of Multiprocessor Systems
1. More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
2. Enhanced Throughput. ...
3. More Economic Systems. ...
4. Increased Expense. ...
5. Complicated Operating System Required. ...
6. Large Main Memory Required.",5,5,,
2,"High Throughput:-Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing:- Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage:- In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability:-As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic:- As more work is completed by the CPUŸ??s so these systems are economically good as well.",5,5,,
2,"Advantages of multiprocessor system are:
-High Throughput, 
-parallel processing, 
-Less electricity usage,
-High Reliability, 
-Economic
",4,4,,
2,"Multiprocessing operating system or the parallel system support the use of more than one processor in close communication.
The advantages of the multiprocessing system are:
1. Increased throughout
2. Cost saving
3. Increased Reliability",2,2,,
2,"High Throughput, parallel processing, Less electricity usage, High Reliability, Economic. High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.",4,4,,
2,"Jobs are performed much faster  compared with single processor systems.
system will be running smoothly , Multiprocessor systems are able to handle complex computations. ",2,2,,
2,"1.More reliable Systems
2.Enhanced Throughput
3.More Economic Systems",2,2,,
2,"There are multiple advantages to multiprocessor systems. Some of these are Ÿ??
More reliable Systems
Enhanced Throughput
More Economic Systems",2,2,,
2,"Even if one processor fails others will look after the work,it is highly reliable, it has high throughput.",3,3,,
2,"There are multiple advantages to multiprocessor systems. Some of these are Ÿ??

More reliable Systems:

In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.

Enhanced Throughput:

If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.

More Economic Systems:

Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.",3,3,,
2,"Multiprocessing operating system or the parallel system support the use of more than one processor in close communication.

The advantages of the multiprocessing system are:

Increased Throughput Ÿ?? By increasing the number of processors, more work can be completed in a unit time.

Cost Saving Ÿ?? Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.

Increased Reliability Ÿ?? In this system, as the workload is distributed among several processors which results in increased reliability. If one processor fails then its failure may slightly slow down the speed of the system but system will work smoothly.",5,5,,
2,"    More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt
    Enhanced Throughput
    More Economic Systems
    Increased Expense
    Complicated Operating System Required 
    Large Main Memory Required.",4,4,,
2,"Multiprocessor is economic as more work is completed by the cpu
Parallel processing is a advantage as execution of multiple threads takes place at same time
Less electricity usage : as multiprocessor execution of multiple process is done in a few times. So less electricity usage",3,3,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
",2,2,,
2,"Multiprocessor is more economic it is cheaper than singleprocessor systems also most work is completed by the cpu
Less electricity usage: multiprocessor cpu consume low electricity than single processor 
Parallel processing:parallel processing takes place in which multiple threads are executed at same time",3,3,,
2,"The advantages of multiprocessor system are
1)More reliable Systems.In a multiprocessor system, even if one processor fails, the system will not halt. ...
2)Enhanced Throughput. ...
3)More Economic Systems. ...
4)Increased Expense. ...
5)Complicated Operating System Required. ...
Large Main Memory Required.",5,5,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
Enhanced Throughput. 
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required. 
Large Main Memory Required.",5,5,,
2,"Multiprocessor have multiple processors and different tasks can be performed simultaneously in a multiprocessor.parallel processing ,high throughput,high reliability can be achieved through this",4,4,,
2,"High Throughput, parallel processing, Less electricity usage, High Reliability, Economic",4,4,,
2,"More reliable system, enhanced throughput, more economic systems",2,2,,
2,"More reliable systems , 
Increased throughput,
More economic systems",2,2,,
2,"There are multiple advantages to multiprocessor systems. Some of these are Ÿ??

More reliable Systems

In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.

Enhanced Throughput

If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.

More Economic Systems

Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.

",4,4,,
2,"More reliable systems.
Enhanced throughput.
More Economic systems.",2,2,,
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUŸ??s so these systems are economically good as well.",5,5,,
2,"Advantages of Multiprocessor Systems :
- There are multiple advantages to multiprocessor systems. Some of these are Ÿ??

1. More reliable Systems :

- In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation.

2. Enhanced Throughput :

- If multiple processors are working in tandem, then the throughput of the system increases.

3.More Economic Systems :

- Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc",3,3,,
2,"The advantages are:
High Throughput:Throughput is the number of processes executed by the CPU at a given time.By increasing the number of processors, more work can be completed in a unit time.

Economic: As more work is completed by the CPUŸ??s so these systems are economically good as well.

Parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

Increased Reliability Ÿ?? In this system, as the workload is distributed among several processors which results in increased reliability. If one processor fails then its failure may slightly slow down the speed of the system but system will work smoothly.",5,5,,
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUŸ??s so these systems are economically good as well.",5,5,,
2,"There are multiple advantages to multiprocessor systems. Some of these are Ÿ??

More reliable Systems

In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.

Enhanced Throughput

If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.

More Economic Systems

Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.

Disadvantages of Multiprocessor Systems
There are some disadvantages as well to multiprocessor systems. Some of these are:

Increased Expense

Even though multiprocessor systems are cheaper in the long run than using multiple computer systems, still they are quite expensive. It is much cheaper to buy a simple single processor system than a multiprocessor system.

Complicated Operating System Required

There are multiple processors in a multiprocessor system that share peripherals, memory etc. So, it is much more complicated to schedule processes and impart resources to processes.than in single processor systems. Hence, a more complex and complicated operating system is required in multiprocessor systems.

Large Main Memory Required

All the processors in the multiprocessor system share the memory. So a much larger pool of memory is required as compared to single processor systems.",5,5,,
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUŸ??s so these systems are economically good as well.",5,5,,
2,"Reliable system
Economic systems
Enhanced throughput",2,2,,
2,"1.By increasing the number of processors, more work can be completed in a unit time.
2.Cost Saving
3.Increased Reliability",2,2,,
2,"Single processor system contains only one processor while multiprocessor systems may contain two or more processors.
Single processor systems use different controllers for completing special tasks such as DMA (Direct Memory Access) Controller. On the other hand, multiprocessor systems have many processors that can perform different tasks. This can be done in symmetric or asymmetric multiprocessing. Single processor systems can be more expensive than multiprocessor systems. If n processor multiprocessor system is available, it is cheaper than n different single processor systems because the memory, peripherals etc. are shared",3,3,,
2,"More reliable Systems,enhanced throughput,more economic systems.",2,2,,
2,"Reliable, enhances throughput, large memory",2,2,,
2,"Large memory required 
Increases expenses
Enhanced throughput",2,2,,
2,"Fast execution through multitasking.
Execution of multiple processes at a time.
",2,2,,
2,"High throughput
Economic
Type of parallel processing
Less electricity usage
High reliability",3,3,,
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPUŸ??s so these systems are economically good as well.",5,5,,
2,"Enhanced throughput
More reliable system
More expense
",2,2,,
2,"CPU time used efficiently, processes executed simultaneously waiting time of ans Process is reduced. ",3,3,,
2,nothing,0,0,,
2,"The advantages of the multiprocessing system are:

Increased Throughput Ÿ?? By increasing the number of processors, more work can be completed in a unit time.
Cost Saving Ÿ?? Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.
Increased Reliability Ÿ?? In this system, as the workload is distributed among several processors which results in increased reliability. If one processor fails then its failure may slightly slow down the speed of the system but system will work smoothly.",5,5,,
2,nothing,0,0,,
2,"1. It is faster than single processor.
2. Multiple tasks are performed at a time.
3. It divides a task into multiple tasks. So it takes less time to execute.",3,3,,
2,nothing,0,0,,
2,"High Throughput,
Type of parallel processing,
Less electricity usage,
High Reliability,
Economic.",3,3,,
2,"1.Efficient than single processor systems
2. Tha tasks can be completed with out any waiting. 
3. Ideal time for the cpu is very less. The cpu is busy in allocating processes. ",3,3,,
2,high speed,1,1,,
2,"More reliable Systems ,Enhanced Throughput, More Economic Systems, Increased Expense ,Complicated Operating System Required, Large Main Memory Required",3,3,,
2,high speed,1,1,,
2,"High Throughput,
Less electricity usage,
High Reliability,
Economic",3,3,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",4,4,,
2,nothing,0,0,,
2,"Reliable,High Throughput,high speed.",3,3,,
2,"Enhanced throughput, more economic systems, increased expenses",1,1,,
2,"Multitasking, high rate of data communication ,reliability , flexible timing,speed and accuracy.",2,2,,
2,nothing,0,0,,
2,"More reliable system.In a multiprocessor system,even if one processor fails,the system will not halt.
Enhance throughout.
Increase expense.
More economic system.",3,3,,
2,"High Throughput,Type of parallel processing,Less electricity usage,High Reliability",3,3,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required",5,5,,
2,"High Throughput,
Less electricity usage,
High Reliability,
Economic",2,2,,
2,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ?",2,3,,
2,"The advantages of the multiprocessing system are: Increased Throughput Ÿ?? By increasing the number of processors, more work can be completed in a unit time. Cost Saving Ÿ?? Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems.",3,3,,
2," Multiprocessor System : System with lots of  CPUs is called Multiprocessor System. 

Advantage : 
1) Many processes can be run simultaneously 
2) Throw put can be improved (number of jobs finished per unit time) 
3) Reliability can be improved : If one CPU fails other CPUs will keep working ",3,3,,
2,"More reliable Systems
More Economic Systems
Enhanced Throughput",2,2,,
2,"1.By use of multiprocessor system, if one processor fails the system will not stop.
2.Multiprocessor system increases the throughput of the system. 
3 Multiprocessor systems are cheaper than single processor system. ",3,3,,
2,"Multiprocessor System : System with lots of  CPUs is called Multiprocessor System. 

Advantage : 
1) Many processes can be run simultaneously 
2) Throw put can be improved (number of jobs finished per unit time) 
3) Reliability can be improved : If one CPU fails other CPUs will keep working",3,3,,
2,"Some advantages are
1.even if one processor fails processing won't stop
2.complicated operating system required etc",2,2,,
2,"High Throughput,
Less electricity usage,
High Reliability,
Economic",1,1,,
2,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.
Type of parallel processing: Parallel processing means the execution of multiple processes at the same time.
High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic, less electricity usage ",2,2,,
2,"Enhanced Throughput ,Increased expense ,Complicated operating system",2,2,,
2,"Some of the advantages of multiprocessor systems are:
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt.
2.High Throughput 
3.Less electricity usage
In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times
4.Economic
Multiprocessor systems are cheaper than single processor systems",4,4,,
2,"*) More reliable system.in a multiprocessor system, even if one processor fails,the system will out not halt.
*) Enhanced throughput
*) Increase expense.
*) Large main memory required",3,3,,
2,"More reliable, less time consuming, more efficient, high throughput",3,3,,
2,"1 High throughput
2 Less electricity usage
3 More reliable systems",2,2,,
2,"There are multiple advantages some of them are:
More reliable systems.
Enhanced throughout.
More economic systems.",2,2,,
2,"Advantages of Multiprocessor Systems:
More reliable Systems. 
In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
More Economic Systems
Increased Expense.
Complicated Operating System Required. 
Large Main Memory Required.",4,4,,
2,"1.Complicated operating system required.
2.It requires large main memory.
3.More economic system.
4.In multiprocessor if one processor Fails,the system will not work.

",2,2,,
